TS,T,C,O,H,L,V
964717200,2000-07-28,100,100,100,100,4200
964976400,2000-07-31,101.55,101.55,101.55,101.55,10300
965149200,2000-08-02,103.38,103.38,103.38,103.38,300
965322000,2000-08-04,105.2,105.2,105.2,105.2,3800
965581200,2000-08-07,106.92,106.92,106.92,106.92,13200
965754000,2000-08-09,108.64,108.64,108.64,108.64,15930
965926800,2000-08-11,110.36,110.36,110.36,110.36,13600
966186000,2000-08-14,112.08,112.08,112.08,112.08,11700
966358800,2000-08-16,113.8,113.8,113.8,113.8,23000
966531600,2000-08-18,115.52,115.52,115.52,115.52,10400
966790800,2000-08-21,117.24,117.24,117.24,117.24,35500
966963600,2000-08-23,118.96,118.96,118.96,118.96,111400
967136400,2000-08-25,118.84,118.84,118.84,118.84,95220
967395600,2000-08-28,117,117,117,117,97920
967568400,2000-08-30,115.15,115.15,115.15,115.15,126510
967741200,2000-09-01,113.37,113.37,113.37,113.37,96600
968173200,2000-09-06,112.51,112.51,112.51,112.51,60900
968346000,2000-09-08,112.39,112.39,112.39,112.39,49500
968605200,2000-09-11,114.11,114.11,114.11,114.11,31300
968778000,2000-09-13,116.08,116.08,116.08,116.08,18400
968950800,2000-09-15,118.04,118.04,118.04,118.04,45900
969210000,2000-09-18,118.19,118.19,118.19,118.19,64600
969382800,2000-09-20,118.21,118.21,118.21,118.21,41600
969555600,2000-09-22,118.76,118.76,118.76,118.76,66900
969814800,2000-09-25,118.98,118.98,118.98,118.98,56600
969987600,2000-09-27,119.69,119.69,119.69,119.69,56610
970160400,2000-09-29,120.71,120.71,120.71,120.71,52800
970419600,2000-10-02,120.92,120.92,120.92,120.92,48600
970592400,2000-10-04,121.14,121.14,121.14,121.14,58400
970765200,2000-10-06,122.21,122.21,122.21,122.21,39600
971024400,2000-10-09,124.33,124.33,124.33,124.33,25900
971197200,2000-10-11,126.45,126.45,126.45,126.45,53300
971370000,2000-10-13,128.57,128.57,128.57,128.57,51900
971629200,2000-10-16,130.71,130.71,130.71,130.71,26600
971802000,2000-10-18,132.85,132.85,132.85,132.85,25700
971974800,2000-10-20,135.04,135.04,135.04,135.04,65900
972234000,2000-10-23,136.55,136.55,136.55,136.55,39100
972406800,2000-10-25,137.08,137.08,137.08,137.08,45000
972579600,2000-10-27,139.57,139.57,139.57,139.57,88200
972838800,2000-10-30,140.84,140.84,140.84,140.84,101200
973011600,2000-11-01,143.33,143.33,143.33,143.33,95900
973184400,2000-11-03,145.83,145.83,145.83,145.83,78800
973443600,2000-11-06,148.57,148.57,148.57,148.57,55300
973616400,2000-11-08,151.32,151.32,151.32,151.32,29200
973789200,2000-11-10,154.08,154.08,154.08,154.08,57300
974048400,2000-11-13,156.84,156.84,156.84,156.84,21700
974221200,2000-11-15,159.6,159.6,159.6,159.6,13400
974394000,2000-11-17,162.36,162.36,162.36,162.36,35350
974653200,2000-11-20,165.7,165.7,165.7,165.7,63910
974826000,2000-11-22,165.52,165.52,165.52,165.52,136700
974998800,2000-11-24,166.17,166.17,166.17,166.17,117420
975258000,2000-11-27,165.6,165.6,165.6,165.6,90400
975430800,2000-11-29,168.73,168.73,168.73,168.73,76800
975603600,2000-12-01,171.87,171.87,171.87,171.87,43300
975862800,2000-12-04,175,175,175,175,28500
976035600,2000-12-06,178.13,178.13,178.13,178.13,60200
976208400,2000-12-08,181.26,181.26,181.26,181.26,188420
976467600,2000-12-11,189.94,189.94,189.94,189.94,125400
976640400,2000-12-13,184.48,184.48,184.48,184.48,106000
976813200,2000-12-15,187.62,187.62,187.62,187.62,49300
977072400,2000-12-18,191.11,191.11,191.11,191.11,82200
977245200,2000-12-20,194.85,194.85,194.85,194.85,39400
977418000,2000-12-22,198.58,198.58,198.58,198.58,61300
977677200,2000-12-25,202.32,202.32,202.32,202.32,21100
977850000,2000-12-27,203.09,203.09,203.09,203.09,41250
978022800,2000-12-29,206.83,206.83,206.83,206.83,60150
978454800,2001-01-03,210.56,210.56,210.56,210.56,43600
978627600,2001-01-05,214.32,214.32,214.32,214.32,50400
978886800,2001-01-08,218.12,218.12,218.12,218.12,71700
979059600,2001-01-10,222.15,222.15,222.15,222.15,184400
979232400,2001-01-12,225.67,225.67,225.67,225.67,224000
979491600,2001-01-15,228.35,228.35,228.35,228.35,123200
979664400,2001-01-17,232.68,232.68,232.68,232.68,88120
979837200,2001-01-19,236.97,236.97,236.97,236.97,42920
980701200,2001-01-29,241.36,241.36,241.36,241.36,9050
980874000,2001-01-31,245.8,245.8,245.8,245.8,6700
981046800,2001-02-02,250.23,250.23,250.23,250.23,24500
981306000,2001-02-05,254.96,254.96,254.96,254.96,2650
981478800,2001-02-07,259.93,259.93,259.93,259.93,8800
981651600,2001-02-09,260.15,260.15,260.15,260.15,315450
981910800,2001-02-12,256.18,256.18,256.18,256.18,130600
982083600,2001-02-14,252.21,252.21,252.21,252.21,78280
982256400,2001-02-16,248.98,248.98,248.98,248.98,43570
982515600,2001-02-19,245.99,245.99,245.99,245.99,34900
982688400,2001-02-21,246.75,246.75,246.75,246.75,240100
982861200,2001-02-23,251.22,251.22,251.22,251.22,155300
983120400,2001-02-26,255.61,255.61,255.61,255.61,97130
983293200,2001-02-28,252.4,252.4,252.4,252.4,293400
983466000,2001-03-02,253.64,253.64,253.64,253.64,207610
983725200,2001-03-05,250.73,250.73,250.73,250.73,165700
983898000,2001-03-07,248.05,248.05,248.05,248.05,202900
984070800,2001-03-09,252.61,252.61,252.61,252.61,118320
984330000,2001-03-12,255.99,255.99,255.99,255.99,122200
984502800,2001-03-14,257.7,257.7,257.7,257.7,143900
984675600,2001-03-16,258.52,258.52,258.52,258.52,102470
984934800,2001-03-19,260.29,260.29,260.29,260.29,179700
985107600,2001-03-21,261.11,261.11,261.11,261.11,83750
985280400,2001-03-23,259.6,259.6,259.6,259.6,134900
985539600,2001-03-26,260.11,260.11,260.11,260.11,76400
985712400,2001-03-28,264.7,264.7,264.7,264.7,88900
985885200,2001-03-30,269.3,269.3,269.3,269.3,44100
986144400,2001-04-02,274.43,274.43,274.43,274.43,139700
986317200,2001-04-04,279.56,279.56,279.56,279.56,56510
986490000,2001-04-06,284.69,284.69,284.69,284.69,32610
986749200,2001-04-09,289.82,289.82,289.82,289.82,146700
986922000,2001-04-11,295.09,295.09,295.09,295.09,98460
987094800,2001-04-13,300.36,300.36,300.36,300.36,67800
987354000,2001-04-16,306.16,306.16,306.16,306.16,43800
987526800,2001-04-18,311.96,311.96,311.96,311.96,61000
987699600,2001-04-20,317.76,317.76,317.76,317.76,123200
987958800,2001-04-23,313.74,313.74,313.74,313.74,321600
988131600,2001-04-25,315.27,315.27,315.27,315.27,417300
988304400,2001-04-27,321.07,321.07,321.07,321.07,49600
988736400,2001-05-02,327.13,327.13,327.13,327.13,43770
988909200,2001-05-04,332,332,332,332,115100
989168400,2001-05-07,338.35,338.35,338.35,338.35,64500
989341200,2001-05-09,344.47,344.47,344.47,344.47,160930
989514000,2001-05-11,351.06,351.06,351.06,351.06,25600
989773200,2001-05-14,357.65,357.65,357.65,357.65,60350
989946000,2001-05-16,364.27,364.27,364.27,364.27,25100
990118800,2001-05-18,370.9,370.9,370.9,370.9,56200
990378000,2001-05-21,377.43,377.43,377.43,377.43,52100
990550800,2001-05-23,384.16,384.16,384.16,384.16,230100
990723600,2001-05-25,390.88,390.88,390.88,390.88,83500
990982800,2001-05-28,397.5,397.5,397.5,397.5,131900
991155600,2001-05-30,404.26,404.26,404.26,404.26,14300
991328400,2001-06-01,411.03,411.03,411.03,411.03,16310
991587600,2001-06-04,417.79,417.79,417.79,417.79,21700
991760400,2001-06-06,424.56,424.56,424.56,424.56,24840
991933200,2001-06-08,426.58,426.58,426.58,426.58,193310
992192400,2001-06-11,428.02,428.02,428.02,428.02,425300
992365200,2001-06-13,456.18,456.18,456.18,456.18,122400
992538000,2001-06-15,486.34,486.34,486.34,486.34,73910
992797200,2001-06-18,518.62,518.62,518.62,518.62,210100
992970000,2001-06-20,553.56,553.56,553.56,553.56,141000
993142800,2001-06-22,563,563,563,563,544250
993402000,2001-06-25,571.04,571.04,571.04,571.04,268110
993574800,2001-06-27,531.93,531.93,531.93,531.93,79700
993747600,2001-06-29,500.28,500.28,500.28,500.28,119750
994006800,2001-07-02,491.17,491.17,491.17,491.17,181400
994179600,2001-07-04,512.8,512.8,512.8,512.8,268300
994352400,2001-07-06,502.93,502.93,502.93,502.93,223500
994611600,2001-07-09,470.83,470.83,470.83,470.83,109100
994784400,2001-07-11,436.13,436.13,436.13,436.13,93000
994957200,2001-07-13,416.46,416.46,416.46,416.46,169000
995216400,2001-07-16,411.43,411.43,411.43,411.43,122000
995389200,2001-07-18,438.12,438.12,438.12,438.12,99400
995562000,2001-07-20,466.67,466.67,466.67,466.67,75600
995821200,2001-07-23,438.33,438.33,438.33,438.33,274800
995994000,2001-07-25,450.87,450.87,450.87,450.87,142400
996166800,2001-07-27,445.37,445.37,445.37,445.37,96900
996426000,2001-07-30,422.46,422.46,422.46,422.46,100200
996598800,2001-08-01,395.63,395.63,395.63,395.63,121100
996771600,2001-08-03,371.76,371.76,371.76,371.76,64200
997030800,2001-08-06,350.69,350.69,350.69,350.69,75990
997203600,2001-08-08,373.63,373.63,373.63,373.63,261300
997376400,2001-08-10,394.18,394.18,394.18,394.18,212800
997635600,2001-08-13,368.34,368.34,368.34,368.34,128650
997808400,2001-08-15,344.31,344.31,344.31,344.31,72150
997981200,2001-08-17,321.83,321.83,321.83,321.83,184600
998240400,2001-08-20,302.25,302.25,302.25,302.25,201050
998413200,2001-08-22,320.98,320.98,320.98,320.98,167000
998586000,2001-08-24,300.03,300.03,300.03,300.03,153800
998845200,2001-08-27,279.65,279.65,279.65,279.65,54700
999018000,2001-08-29,261.35,261.35,261.35,261.35,120750
999190800,2001-08-31,277.4,277.4,277.4,277.4,296800
999622800,2001-09-05,296.43,296.43,296.43,296.43,91300
999795600,2001-09-07,307.76,307.76,307.76,307.76,245500
1000054800,2001-09-10,286.55,286.55,286.55,286.55,265650
1000227600,2001-09-12,284.68,284.68,284.68,284.68,197200
1000400400,2001-09-14,274.64,274.64,274.64,274.64,155200
1000659600,2001-09-17,266.09,266.09,266.09,266.09,135300
1000832400,2001-09-19,273.37,273.37,273.37,273.37,158450
1001005200,2001-09-21,272.03,272.03,272.03,272.03,113300
1001264400,2001-09-24,259.75,259.75,259.75,259.75,150900
1001437200,2001-09-26,249.72,249.72,249.72,249.72,134100
1001610000,2001-09-28,244.46,244.46,244.46,244.46,140700
1001869200,2001-10-01,229.06,229.06,229.06,229.06,142200
1002042000,2001-10-03,214.29,214.29,214.29,214.29,101580
1002214800,2001-10-05,203.12,203.12,203.12,203.12,211800
1002474000,2001-10-08,217.1,217.1,217.1,217.1,299000
1002646800,2001-10-10,221.18,221.18,221.18,221.18,156200
1002819600,2001-10-12,225.27,225.27,225.27,225.27,1200
1003078800,2001-10-15,229.35,229.35,229.35,229.35,988600
1003251600,2001-10-17,233.48,233.48,233.48,233.48,10700
1003424400,2001-10-19,237.62,237.62,237.62,237.62,8700
1003683600,2001-10-22,242.01,242.01,242.01,242.01,17700
1003856400,2001-10-24,246.41,246.41,246.41,246.41,53500
1004029200,2001-10-26,250.85,250.85,250.85,250.85,23410
1004288400,2001-10-29,255.55,255.55,255.55,255.55,408390
1004461200,2001-10-31,260.29,260.29,260.29,260.29,52900
1004634000,2001-11-02,265.03,265.03,265.03,265.03,65500
1004893200,2001-11-05,269.77,269.77,269.77,269.77,69500
1005066000,2001-11-07,274.89,274.89,274.89,274.89,24900
1005238800,2001-11-09,280.03,280.03,280.03,280.03,21530
1005498000,2001-11-12,285.06,285.06,285.06,285.06,24900
1005670800,2001-11-14,290.51,290.51,290.51,290.51,33200
1005843600,2001-11-16,295.97,295.97,295.97,295.97,24400
1006102800,2001-11-19,301.09,301.09,301.09,301.09,53900
1006275600,2001-11-21,296.11,296.11,296.11,296.11,300700
1006448400,2001-11-23,292.17,292.17,292.17,292.17,184900
1006707600,2001-11-26,296.9,296.9,296.9,296.9,278300
1006880400,2001-11-28,293.03,293.03,293.03,293.03,156300
1007053200,2001-11-30,288.52,288.52,288.52,288.52,41600
1007312400,2001-12-03,283.02,283.02,283.02,283.02,28200
1007485200,2001-12-05,279.15,279.15,279.15,279.15,18000
1007658000,2001-12-07,275.49,275.49,275.49,275.49,72600
1007917200,2001-12-10,271.62,271.62,271.62,271.62,149300
1008090000,2001-12-12,267.83,267.83,267.83,267.83,78500
1008262800,2001-12-14,263.04,263.04,263.04,263.04,47400
1008522000,2001-12-17,259.08,259.08,259.08,259.08,26900
1008694800,2001-12-19,247.26,247.26,247.26,247.26,85500
1008867600,2001-12-21,250.95,250.95,250.95,250.95,362700
1009126800,2001-12-24,248.05,248.05,248.05,248.05,174900
1009299600,2001-12-26,242.75,242.75,242.75,242.75,145500
1009472400,2001-12-28,239.27,239.27,239.27,239.27,72900
1009731600,2001-12-31,235.4,235.4,235.4,235.4,43900
1009904400,2002-01-02,231.7,231.7,231.7,231.7,64310
1010077200,2002-01-04,227.79,227.79,227.79,227.79,41410
1010336400,2002-01-07,225.95,225.95,225.95,225.95,284020
1010509200,2002-01-09,222.9,222.9,222.9,222.9,188720
1010682000,2002-01-11,219.22,219.22,219.22,219.22,79210
1010941200,2002-01-14,214.16,214.16,214.16,214.16,52210
1011114000,2002-01-16,210.68,210.68,210.68,210.68,32420
1011286800,2002-01-18,206.79,206.79,206.79,206.79,30810
1011546000,2002-01-21,203.27,203.27,203.27,203.27,79500
1011718800,2002-01-23,206.01,206.01,206.01,206.01,325120
1012150800,2002-01-28,210.76,210.76,210.76,210.76,121520
1012323600,2002-01-30,207.55,207.55,207.55,207.55,548820
1012496400,2002-02-01,204.48,204.48,204.48,204.48,277740
1012755600,2002-02-04,203.77,203.77,203.77,203.77,271120
1012928400,2002-02-06,205.37,205.37,205.37,205.37,183320
1013101200,2002-02-08,205.2,205.2,205.2,205.2,286820
1013965200,2002-02-18,202.89,202.89,202.89,202.89,58510
1014138000,2002-02-20,199.52,199.52,199.52,199.52,91720
1014310800,2002-02-22,196.58,196.58,196.58,196.58,124100
1014570000,2002-02-25,193.79,193.79,193.79,193.79,181500
1014742800,2002-02-27,191.1,191.1,191.1,191.1,85420
1014915600,2002-03-01,193.59,193.59,193.59,193.59,454230
1015174800,2002-03-04,190.98,190.98,190.98,190.98,209730
1015261200,2002-03-05,188.22,188.22,188.22,188.22,136830
1015347600,2002-03-06,185.74,185.74,185.74,185.74,150710
1015434000,2002-03-07,183.2,183.2,183.2,183.2,173000
1015520400,2002-03-08,181.2,181.2,181.2,181.2,181410
1015779600,2002-03-11,180.73,180.73,180.73,180.73,348000
1015866000,2002-03-12,182.92,182.92,182.92,182.92,148510
1015952400,2002-03-13,185.66,185.66,185.66,185.66,79020
1016038800,2002-03-14,188.97,188.97,188.97,188.97,96560
1016125200,2002-03-15,192.39,192.39,192.39,192.39,194700
1016384400,2002-03-18,190.3,190.3,190.3,190.3,413510
1016470800,2002-03-19,187.06,187.06,187.06,187.06,140720
1016557200,2002-03-20,189.05,189.05,189.05,189.05,386420
1016643600,2002-03-21,189.26,189.26,189.26,189.26,129410
1016730000,2002-03-22,187.67,187.67,187.67,187.67,136300
1016989200,2002-03-25,188.71,188.71,188.71,188.71,97400
1017075600,2002-03-26,191.97,191.97,191.97,191.97,117000
1017162000,2002-03-27,195.11,195.11,195.11,195.11,126600
1017248400,2002-03-28,197.89,197.89,197.89,197.89,138300
1017334800,2002-03-29,200.15,200.15,200.15,200.15,118400
1017594000,2002-04-01,203.14,203.14,203.14,203.14,144400
1017680400,2002-04-02,203.22,203.22,203.22,203.22,174800
1017766800,2002-04-03,202.16,202.16,202.16,202.16,359500
1017853200,2002-04-04,201.38,201.38,201.38,201.38,208100
1017939600,2002-04-05,198.77,198.77,198.77,198.77,114000
1018198800,2002-04-08,198.52,198.52,198.52,198.52,148400
1018285200,2002-04-09,200.48,200.48,200.48,200.48,139500
1018371600,2002-04-10,200.85,200.85,200.85,200.85,128200
1018458000,2002-04-11,200.36,200.36,200.36,200.36,146000
1018544400,2002-04-12,199.69,199.69,199.69,199.69,107700
1018803600,2002-04-15,200.4,200.4,200.4,200.4,105900
1018890000,2002-04-16,198.44,198.44,198.44,198.44,116200
1018976400,2002-04-17,197.12,197.12,197.12,197.12,100030
1019062800,2002-04-18,199.31,199.31,199.31,199.31,160300
1019149200,2002-04-19,201.43,201.43,201.43,201.43,175800
1019408400,2002-04-22,201.14,201.14,201.14,201.14,148600
1019494800,2002-04-23,202.81,202.81,202.81,202.81,238800
1019581200,2002-04-24,205.65,205.65,205.65,205.65,205500
1019667600,2002-04-25,207.06,207.06,207.06,207.06,341250
1019754000,2002-04-26,208.48,208.48,208.48,208.48,234500
1020272400,2002-05-02,209.52,209.52,209.52,209.52,401400
1020358800,2002-05-03,212.95,212.95,212.95,212.95,275400
1020618000,2002-05-06,214.23,214.23,214.23,214.23,284100
1020704400,2002-05-07,210.43,210.43,210.43,210.43,240200
1020790800,2002-05-08,207.05,207.05,207.05,207.05,235300
1020877200,2002-05-09,208.85,208.85,208.85,208.85,185700
1020963600,2002-05-10,211.88,211.88,211.88,211.88,216100
1021222800,2002-05-13,209.62,209.62,209.62,209.62,281800
1021309200,2002-05-14,209.88,209.88,209.88,209.88,208800
1021395600,2002-05-15,209.82,209.82,209.82,209.82,246600
1021482000,2002-05-16,209.08,209.08,209.08,209.08,233400
1021568400,2002-05-17,209.79,209.79,209.79,209.79,504860
1021827600,2002-05-20,208.14,208.14,208.14,208.14,173500
1021914000,2002-05-21,208.93,208.93,208.93,208.93,179400
1022000400,2002-05-22,209.66,209.66,209.66,209.66,163700
1022086800,2002-05-23,208.93,208.93,208.93,208.93,135000
1022173200,2002-05-24,208.04,208.04,208.04,208.04,202900
1022432400,2002-05-27,206.3,206.3,206.3,206.3,196300
1022518800,2002-05-28,205.02,205.02,205.02,205.02,246600
1022605200,2002-05-29,203.65,203.65,203.65,203.65,180600
1022691600,2002-05-30,203.77,203.77,203.77,203.77,129100
1022778000,2002-05-31,207.12,207.12,207.12,207.12,189300
1023037200,2002-06-03,207.81,207.81,207.81,207.81,131900
1023123600,2002-06-04,205.68,205.68,205.68,205.68,93500
1023210000,2002-06-05,205.48,205.48,205.48,205.48,74000
1023296400,2002-06-06,205.07,205.07,205.07,205.07,84900
1023382800,2002-06-07,203.06,203.06,203.06,203.06,84800
1023642000,2002-06-10,204.88,204.88,204.88,204.88,88900
1023728400,2002-06-11,203.53,203.53,203.53,203.53,74500
1023814800,2002-06-12,203.79,203.79,203.79,203.79,88810
1023901200,2002-06-13,202.35,202.35,202.35,202.35,65700
1023987600,2002-06-14,200.75,200.75,200.75,200.75,117000
1024246800,2002-06-17,197.77,197.77,197.77,197.77,118200
1024333200,2002-06-18,195.59,195.59,195.59,195.59,72000
1024419600,2002-06-19,192.13,192.13,192.13,192.13,151400
1024506000,2002-06-20,193.32,193.32,193.32,193.32,188600
1024592400,2002-06-21,196.89,196.89,196.89,196.89,43700
1024851600,2002-06-24,200.5,200.5,200.5,200.5,38400
1024938000,2002-06-25,202.4,202.4,202.4,202.4,146300
1025024400,2002-06-26,200.5,200.5,200.5,200.5,201400
1025110800,2002-06-27,199.61,199.61,199.61,199.61,129900
1025197200,2002-06-28,202.06,202.06,202.06,202.06,141150
1025456400,2002-07-01,200.26,200.26,200.26,200.26,98900
1025542800,2002-07-02,199.94,199.94,199.94,199.94,131000
1025629200,2002-07-03,199.61,199.61,199.61,199.61,92600
1025715600,2002-07-04,199.7,199.7,199.7,199.7,137500
1025802000,2002-07-05,200.5,200.5,200.5,200.5,119500
1026061200,2002-07-08,200.19,200.19,200.19,200.19,89300
1026147600,2002-07-09,199,199,199,199,187700
1026234000,2002-07-10,197.27,197.27,197.27,197.27,257400
1026320400,2002-07-11,197.25,197.25,197.25,197.25,152800
1026406800,2002-07-12,198.17,198.17,198.17,198.17,134000
1026666000,2002-07-15,197.37,197.37,197.37,197.37,383220
1026752400,2002-07-16,196.85,196.85,196.85,196.85,96000
1026838800,2002-07-17,194.3,194.3,194.3,194.3,150400
1026925200,2002-07-18,192.42,192.42,192.42,192.42,86000
1027011600,2002-07-19,191.25,191.25,191.25,191.25,125600
1027270800,2002-07-22,193.36,193.36,193.36,193.36,434200
1027357200,2002-07-23,196.85,196.85,196.85,196.85,153700
1027443600,2002-07-24,197.42,197.42,197.42,197.42,289500
1027530000,2002-07-25,194.49,194.49,194.49,194.49,184300
1027616400,2002-07-26,195.79,195.79,195.79,195.79,116500
1027875600,2002-07-29,195.16,195.16,195.16,195.16,132000
1027962000,2002-07-30,196.94,196.94,196.94,196.94,105700
1028048400,2002-07-31,197.57,197.57,197.57,197.57,181600
1028134800,2002-08-01,197.12,197.12,197.12,197.12,114910
1028221200,2002-08-02,195.06,195.06,195.06,195.06,92400
1028480400,2002-08-05,193.67,193.67,193.67,193.67,155400
1028566800,2002-08-06,194.34,194.34,194.34,194.34,86800
1028653200,2002-08-07,194.06,194.06,194.06,194.06,106900
1028739600,2002-08-08,193.39,193.39,193.39,193.39,110300
1028826000,2002-08-09,192.49,192.49,192.49,192.49,141050
1029085200,2002-08-12,191.53,191.53,191.53,191.53,115700
1029171600,2002-08-13,189.78,189.78,189.78,189.78,158800
1029258000,2002-08-14,188.73,188.73,188.73,188.73,128500
1029344400,2002-08-15,189.55,189.55,189.55,189.55,175400
1029430800,2002-08-16,191.67,191.67,191.67,191.67,105300
1029776400,2002-08-20,190.96,190.96,190.96,190.96,110000
1029862800,2002-08-21,190.9,190.9,190.9,190.9,173800
1029949200,2002-08-22,190.95,190.95,190.95,190.95,169600
1030035600,2002-08-23,190.21,190.21,190.21,190.21,169200
1030294800,2002-08-26,189.97,189.97,189.97,189.97,134000
1030381200,2002-08-27,189.32,189.32,189.32,189.32,128400
1030467600,2002-08-28,190.54,190.54,190.54,190.54,125300
1030554000,2002-08-29,191.28,191.28,191.28,191.28,169500
1030640400,2002-08-30,191.66,191.66,191.66,191.66,181600
1030986000,2002-09-03,191.43,191.43,191.43,191.43,88200
1031072400,2002-09-04,190.59,190.59,190.59,190.59,148100
1031158800,2002-09-05,190.54,190.54,190.54,190.54,96900
1031245200,2002-09-06,190.45,190.45,190.45,190.45,82200
1031504400,2002-09-09,190.21,190.21,190.21,190.21,102700
1031590800,2002-09-10,189.86,189.86,189.86,189.86,95300
1031677200,2002-09-11,189.4,189.4,189.4,189.4,161779
1031763600,2002-09-12,189.14,189.14,189.14,189.14,80200
1031850000,2002-09-13,188.72,188.72,188.72,188.72,116700
1032109200,2002-09-16,188.66,188.66,188.66,188.66,126800
1032195600,2002-09-17,186.87,186.87,186.87,186.87,121500
1032282000,2002-09-18,185,185,185,185,129400
1032368400,2002-09-19,184.69,184.69,184.69,184.69,111100
1032454800,2002-09-20,183.83,183.83,183.83,183.83,127500
1032714000,2002-09-23,182.33,182.33,182.33,182.33,134500
1032800400,2002-09-24,179.93,179.93,179.93,179.93,116500
1032886800,2002-09-25,181.66,181.66,181.66,181.66,117100
1032973200,2002-09-26,183.67,183.67,183.67,183.67,123050
1033059600,2002-09-27,182.62,182.62,182.62,182.62,122600
1033318800,2002-09-30,182.13,182.13,182.13,182.13,76200
1033405200,2002-10-01,182.97,182.97,182.97,182.97,76850
1033491600,2002-10-02,182.84,182.84,182.84,182.84,67500
1033578000,2002-10-03,183.4,183.4,183.4,183.4,88100
1033664400,2002-10-04,182.49,182.49,182.49,182.49,71900
1033923600,2002-10-07,181.71,181.71,181.71,181.71,88500
1034010000,2002-10-08,180.02,180.02,180.02,180.02,140600
1034096400,2002-10-09,178.85,178.85,178.85,178.85,134400
1034182800,2002-10-10,179.1,179.1,179.1,179.1,516200
1034269200,2002-10-11,179.33,179.33,179.33,179.33,36100
1034528400,2002-10-14,180.1,180.1,180.1,180.1,109300
1034614800,2002-10-15,180.63,180.63,180.63,180.63,122400
1034701200,2002-10-16,180.13,180.13,180.13,180.13,73200
1034787600,2002-10-17,179.66,179.66,179.66,179.66,91100
1034874000,2002-10-18,178.64,178.64,178.64,178.64,124620
1035133200,2002-10-21,178.66,178.66,178.66,178.66,66610
1035219600,2002-10-22,179.39,179.39,179.39,179.39,101580
1035306000,2002-10-23,179.1,179.1,179.1,179.1,71500
1035392400,2002-10-24,178.94,178.94,178.94,178.94,90900
1035478800,2002-10-25,178.81,178.81,178.81,178.81,68600
1035738000,2002-10-28,178.8,178.8,178.8,178.8,105200
1035824400,2002-10-29,177.92,177.92,177.92,177.92,100600
1035910800,2002-10-30,177.61,177.61,177.61,177.61,55700
1035997200,2002-10-31,177.61,177.61,177.61,177.61,53800
1036083600,2002-11-01,177.35,177.35,177.35,177.35,78400
1036342800,2002-11-04,176.57,176.57,176.57,176.57,386900
1036429200,2002-11-05,175.02,175.02,175.02,175.02,288200
1036515600,2002-11-06,174.84,174.84,174.84,174.84,57110
1036602000,2002-11-07,174.62,174.62,174.62,174.62,87010
1036688400,2002-11-08,174.88,174.88,174.88,174.88,64710
1036947600,2002-11-11,175.19,175.19,175.19,175.19,60070
1037034000,2002-11-12,175.27,175.27,175.27,175.27,58200
1037120400,2002-11-13,175.63,175.63,175.63,175.63,65300
1037206800,2002-11-14,175.42,175.42,175.42,175.42,91600
1037293200,2002-11-15,175.77,175.77,175.77,175.77,70700
1037552400,2002-11-18,175.73,175.73,175.73,175.73,76300
1037638800,2002-11-19,175.54,175.54,175.54,175.54,64400
1037725200,2002-11-20,176.08,176.08,176.08,176.08,51100
1037811600,2002-11-21,176.47,176.47,176.47,176.47,104100
1037898000,2002-11-22,175.24,175.24,175.24,175.24,64300
1038157200,2002-11-25,176.47,176.47,176.47,176.47,54500
1038243600,2002-11-26,176.5,176.5,176.5,176.5,99200
1038330000,2002-11-27,176.44,176.44,176.44,176.44,80100
1038416400,2002-11-28,177.25,177.25,177.25,177.25,79300
1038502800,2002-11-29,177.87,177.87,177.87,177.87,40000
1038762000,2002-12-02,179.27,179.27,179.27,179.27,95860
1038848400,2002-12-03,183.56,183.56,183.56,183.56,89530
1038934800,2002-12-04,187.21,187.21,187.21,187.21,181770
1039021200,2002-12-05,186.83,186.83,186.83,186.83,235500
1039107600,2002-12-06,184.55,184.55,184.55,184.55,136700
1039366800,2002-12-09,183.62,183.62,183.62,183.62,124600
1039453200,2002-12-10,184.75,184.75,184.75,184.75,74300
1039539600,2002-12-11,184.34,184.34,184.34,184.34,102900
1039626000,2002-12-12,183.69,183.69,183.69,183.69,68400
1039712400,2002-12-13,184.15,184.15,184.15,184.15,101200
1039971600,2002-12-16,184.74,184.74,184.74,184.74,86700
1040058000,2002-12-17,185.37,185.37,185.37,185.37,138220
1040144400,2002-12-18,185.96,185.96,185.96,185.96,150300
1040317200,2002-12-20,184.94,184.94,184.94,184.94,115700
1040576400,2002-12-23,184.23,184.23,184.23,184.23,73400
1040662800,2002-12-24,184.18,184.18,184.18,184.18,122500
1040749200,2002-12-25,184.14,184.14,184.14,184.14,92900
1040835600,2002-12-26,183.78,183.78,183.78,183.78,107400
1040922000,2002-12-27,183.05,183.05,183.05,183.05,70700
1041181200,2002-12-30,182.65,182.65,182.65,182.65,54700
1041267600,2002-12-31,183.33,183.33,183.33,183.33,65900
1041440400,2003-01-02,183.41,183.41,183.41,183.41,30300
1041526800,2003-01-03,182.39,182.39,182.39,182.39,58100
1041786000,2003-01-06,181.76,181.76,181.76,181.76,52400
1041872400,2003-01-07,180.63,180.63,180.63,180.63,67400
1041958800,2003-01-08,179.79,179.79,179.79,179.79,42500
1042045200,2003-01-09,178.93,178.93,178.93,178.93,47450
1042131600,2003-01-10,178.67,178.67,178.67,178.67,41500
1042390800,2003-01-13,178.03,178.03,178.03,178.03,69900
